"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4DQttwipnILl88cru3BRZx","Night Nurse","spotify:artist:6QHu71f8LLeT8n0GzfbYFc","Gregory Isaacs","spotify:album:2HEXjNNUSOwBmhyaEXG5yx","Night Nurse (Expanded Edition)","spotify:artist:6QHu71f8LLeT8n0GzfbYFc","Gregory Isaacs","1982-01-01","https://i.scdn.co/image/ab67616d0000b27326f8a0f6a4abe3088c6074ad","1","1","249533","https://p.scdn.co/mp3-preview/8e543b64aa835a31ab36917384c5b275deca57f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USIR18290001","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-04-09T01:28:29Z"
"spotify:track:54cMaPPTAoC57ZgnMTJKHM","Handsworth Revolution","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","spotify:album:61RLzpGAy4BrIQoEiHXGXA","Reggae Greats","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","1984","https://i.scdn.co/image/ab67616d0000b2737295b6d6af8460330c46d778","1","10","322000","https://p.scdn.co/mp3-preview/78cb5f3d2583932b0929e8e4765dea4a0372f021?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBAPA7800006","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-04-09T01:37:25Z"
"spotify:track:0mD19MC6H0OzHvEUADHypU","Police In Helicopter","spotify:artist:312pFk2xpEwYWLGPehc4Nu","John Holt","spotify:album:7naj9A5QZbYxYbj9Susywq","Police In Helicopter","spotify:artist:312pFk2xpEwYWLGPehc4Nu","John Holt","1983","https://i.scdn.co/image/ab67616d0000b27318eaa5f84d8d593390a725a4","1","1","219160","https://p.scdn.co/mp3-preview/ebe2a2fda701c6fbe6a49c29ca9209f83a950c36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBBZV8301362","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-04-18T17:41:19Z"
"spotify:track:0GX3igA23J42onO5WEWFMk","Time Tough","spotify:artist:6ZFv3wQwwWPiVDWhv0mjQK","Toots & The Maytals","spotify:album:7a341nZsSfwyBsq1tMPETz","Funky Kingston","spotify:artist:6ZFv3wQwwWPiVDWhv0mjQK","Toots & The Maytals","1973-01-01","https://i.scdn.co/image/ab67616d0000b273c791c7423d7b3b9f02fb093a","1","1","264160","https://p.scdn.co/mp3-preview/3a98e3f2dd7cc261fe718eb699dc9b80eac54fd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USIR27300001","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-06-02T18:33:36Z"
"spotify:track:20gqQ4VGBPfD5XwFI7Qhfz","Babylon Makes The Rules","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","spotify:album:61RLzpGAy4BrIQoEiHXGXA","Reggae Greats","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","1984","https://i.scdn.co/image/ab67616d0000b2737295b6d6af8460330c46d778","1","2","281800","https://p.scdn.co/mp3-preview/0301578e546c344e4bc09ca596fe7392228bd9cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","GBAPA7900021","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-06-03T03:13:54Z"
"spotify:track:16DBt4XYaBMRCWecTmo0xl","Don't Give In","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","spotify:album:61RLzpGAy4BrIQoEiHXGXA","Reggae Greats","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","1984","https://i.scdn.co/image/ab67616d0000b2737295b6d6af8460330c46d778","1","3","187733","https://p.scdn.co/mp3-preview/d83d60eca686b7d3b22c5d54ec48e091bb7cff3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","GBAPA8000020","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-06-03T03:14:14Z"
"spotify:track:1q8gelFgFYUwoWpQV7WNCe","54-46 Was My Number","spotify:artist:6ZFv3wQwwWPiVDWhv0mjQK","Toots & The Maytals","spotify:album:6FuHnw9KkeYH6TSJaNOlto","In The Dark","spotify:artist:6ZFv3wQwwWPiVDWhv0mjQK","Toots & The Maytals","1973-03-01","https://i.scdn.co/image/ab67616d0000b273c22424eb54f4132e30efa886","1","11","204026","https://p.scdn.co/mp3-preview/97dc6f51325bcfbb39b5520f802c6d8119bcd023?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USIR20300108","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-06-03T03:27:25Z"
"spotify:track:0dxLoj9DTNbtAbjGVMMUYK","Gonna Make Time","spotify:artist:0wwBxT2qVH327KlBJbwMEP","The Frightnrs","spotify:album:5oGtxusqxowETVnVokdqME","Nothing More to Say","spotify:artist:0wwBxT2qVH327KlBJbwMEP","The Frightnrs","2016-09-02","https://i.scdn.co/image/ab67616d0000b2739561e10a3bd9d4039c9ba804","1","10","214613","https://p.scdn.co/mp3-preview/e46523af214d9b434f48ca113124c9d97def8f51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","US4GZ1604210","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-06-03T16:24:38Z"
"spotify:track:0C8bP2Km8MCdtQb8MJzoPP","Anarexol (12"")","spotify:artist:6xqlgBccdlxUh5DeJSx2ho","Eek-A-Mouse","spotify:album:3XdnLEXyIrLa840AwMo2RW","Mouseketeer","spotify:artist:6xqlgBccdlxUh5DeJSx2ho","Eek-A-Mouse","1984","https://i.scdn.co/image/ab67616d0000b273a71de4d8d4455c282332b29f","1","12","440333","https://p.scdn.co/mp3-preview/cfb341bf25b676ae770bc6f5a7148608d0f6120f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBBZV0450993","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-06-27T14:19:39Z"
"spotify:track:1cXpBJTqxXIV2tZyEXXPtQ","I Lost My Sonia","spotify:artist:7z7anCUBwfJUFuTQ4D1x6R","Cocoa Tea","spotify:album:527Jo8DG0g46VacoVkFMgX","Weh Dem A Go Do...Can't Stop Cocoa Tea","spotify:artist:7z7anCUBwfJUFuTQ4D1x6R","Cocoa Tea","1992","https://i.scdn.co/image/ab67616d0000b2738af5ceba64b6c3392f3c8837","1","6","219733","https://p.scdn.co/mp3-preview/f9f42d9dcf07b88ebcd4519dc57eb47b44f4a804?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USVPR0107230","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-06-26T18:12:59Z"
"spotify:track:6T6cumMdgufnqVcw1FpDqX","Rocking Dolly","spotify:artist:7z7anCUBwfJUFuTQ4D1x6R","Cocoa Tea","spotify:album:527Jo8DG0g46VacoVkFMgX","Weh Dem A Go Do...Can't Stop Cocoa Tea","spotify:artist:7z7anCUBwfJUFuTQ4D1x6R","Cocoa Tea","1992","https://i.scdn.co/image/ab67616d0000b2738af5ceba64b6c3392f3c8837","1","1","231400","https://p.scdn.co/mp3-preview/cf2a5b1e012bfdd46867b8fd97b52b30c50a0f3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USVPR0713825","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-06-26T18:13:03Z"
"spotify:track:7FDRuCNyLts7hg1UiaPpUR","Sensee Party","spotify:artist:6xqlgBccdlxUh5DeJSx2ho","Eek-A-Mouse","spotify:album:662RP29DTlG5AnIyFV46so","Skidip","spotify:artist:6xqlgBccdlxUh5DeJSx2ho","Eek-A-Mouse","1982-06-01","https://i.scdn.co/image/ab67616d0000b2737d31234b14e288f43b51db01","1","1","192106","https://p.scdn.co/mp3-preview/402e72842618470c2d051b6e8aed5468b4afc6e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBBZV8201957","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-06-26T18:13:07Z"
"spotify:track:49UQ9RrZvnaPL8UF8MFxvV","It Was a Long Way","spotify:artist:5J6lHDYy53GyksfcJyHadC","Junior Byles","spotify:album:3UK6q3WhYfT4tztDyaBoyK","A Long Way","spotify:artist:5J6lHDYy53GyksfcJyHadC","Junior Byles","1999","https://i.scdn.co/image/ab67616d0000b27313e693efb6c4657b5ed8eac7","1","11","179275","https://p.scdn.co/mp3-preview/934922d36990d7bf159121597dd2ee633feeea71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USQY51440853","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-06-26T18:13:11Z"
"spotify:track:6lmLUNd7mcyYqKcg6EIAOu","Coming In From The Cold","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:321q9p7PELvzcFAWxml7VX","Uprising","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1980-06-10","https://i.scdn.co/image/ab67616d0000b2731c40418d1c37d727e8e91b04","1","1","271023","https://p.scdn.co/mp3-preview/5c03f20b157c0a57e7925ef1378947a03a141710?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USIR28000009","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-06-26T22:33:15Z"
"spotify:track:7DhObRhHUtmpFXnTTMw4zQ","No, No, No","spotify:artist:6mLXvSt7Xxy2r9uBba1O6Z","Dawn Penn","spotify:album:6cTbtqpisjvpcFBA6Spdgi","No, No, No","spotify:artist:6mLXvSt7Xxy2r9uBba1O6Z","Dawn Penn","2022-04-15","https://i.scdn.co/image/ab67616d0000b273652d0fbd18920339a09e0374","1","1","264786","https://p.scdn.co/mp3-preview/c0a8bd9d3686075ac187ab51d1b391198c14183d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","JMA020600973","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-07-01T15:18:01Z"
"spotify:track:7cxJUcO4HTrJ2jniaKOAaw","Steppin' Out","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","spotify:album:1h5jSwgEiUDx58MiBFVTgV","Earth Crisis","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","2005-06-07","https://i.scdn.co/image/ab67616d0000b273debaed4026f8dc6cd23fb048","1","1","245786","https://p.scdn.co/mp3-preview/bab00610e0483d633be6b562d589f9f7e52198c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USEE10181688","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-08-02T15:19:25Z"
"spotify:track:1RcvYfTuRLsMIBpiLVWxc8","Lump Sum","spotify:artist:7IURtrIM8SBTlCI9qrAuUQ","Linval Thompson","spotify:album:7td4NFu0z7vtAZsZf4Nd23","The Early Sessions 1974-1982","spotify:artist:7IURtrIM8SBTlCI9qrAuUQ","Linval Thompson","2011-11-10","https://i.scdn.co/image/ab67616d0000b273885815f103317d7bb488b664","1","15","347906","https://p.scdn.co/mp3-preview/b1a62d715e2e2468ef244c50fb774ab2fffddd17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","JMA270860149","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-09-05T00:31:43Z"
"spotify:track:2pZJhvpin385eqAFRp3ASJ","Sun Is Shining","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:13dXX35pYjr8FqRla40K2a","Kaya","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1978","https://i.scdn.co/image/ab67616d0000b273387799441ba867649dfbb702","1","4","298506","https://p.scdn.co/mp3-preview/df9f047cefcdea89b6bd6eea8094aa03f2503f12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USIR27800260","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-11-11T20:43:34Z"
"spotify:track:7FZfK6Jw4OAtSlBUERzuMm","Island Girl","spotify:artist:7jgZFR40bWjwOrRCOZFB02","Tribal Seeds","spotify:album:0vr6O6TpbUwDkRaOFcG1Z7","Tribal Seeds","spotify:artist:7jgZFR40bWjwOrRCOZFB02","Tribal Seeds","2008-01-01","https://i.scdn.co/image/ab67616d0000b27303f0614c9c10028e9c49aca1","1","8","258866","https://p.scdn.co/mp3-preview/7e488b5ff288f5152d9f7e1d2a330eb200cc99a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USL4Q0760730","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-12-03T16:54:19Z"
"spotify:track:3ciMXKwXlLCFcQCyhKblZs","Roller Skates","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","spotify:album:1h5jSwgEiUDx58MiBFVTgV","Earth Crisis","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","2005-06-07","https://i.scdn.co/image/ab67616d0000b273debaed4026f8dc6cd23fb048","1","4","299946","https://p.scdn.co/mp3-preview/d11d727d31b2829fbdc827bdbe40eb4c6d70fc70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USEE19901168","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-12-03T17:03:15Z"
"spotify:track:1GMImHbfKQuz8EGzvAYTEf","Jamaica Nice","spotify:artist:02QS4GibrL7zDnqe4OWWeu","Billy Boyo","spotify:album:3GrtgkGNzsvWFLegW4fodf","Zim Zim","spotify:artist:02QS4GibrL7zDnqe4OWWeu","Billy Boyo","2003-01-01","https://i.scdn.co/image/ab67616d0000b273fa6ff903bd556031a2c4766f","1","1","223786","https://p.scdn.co/mp3-preview/e3167358a98f1a716856f1008c8c86ff058c5f7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","ushm20442590","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-12-17T04:32:53Z"
"spotify:track:6AaixUO6ifkCwSbCiKQ8je","Iron Woman","spotify:artist:02QS4GibrL7zDnqe4OWWeu","Billy Boyo","spotify:album:3GrtgkGNzsvWFLegW4fodf","Zim Zim","spotify:artist:02QS4GibrL7zDnqe4OWWeu","Billy Boyo","2003-01-01","https://i.scdn.co/image/ab67616d0000b273fa6ff903bd556031a2c4766f","1","9","239506","https://p.scdn.co/mp3-preview/b6bed427d5adbdb45704fc9b6cc9dcc0b026cfb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","ushm20442598","spotify:user:22sdp7hcqje57feigouwzjgyq","2025-01-11T01:57:05Z"
"spotify:track:0wVjx0J6LK1JswJnUaqbFq","Beat Down Babylon","spotify:artist:5J6lHDYy53GyksfcJyHadC","Junior Byles","spotify:album:5LaUnFk76oOD8YkhDb7ESr","Beat Down Babylon (Expanded Version)","spotify:artist:5J6lHDYy53GyksfcJyHadC","Junior Byles","1972-04-10","https://i.scdn.co/image/ab67616d0000b27303cff8743521fc19af3f3018","1","6","155386","https://p.scdn.co/mp3-preview/3bfadc4f6f9f9dd6b551be36793e086214ed0127?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBAJE7100420","spotify:user:22sdp7hcqje57feigouwzjgyq","2025-01-20T04:07:21Z"
"spotify:track:5g7PCls5DNa0CpGchht17L","Only Woman D.J. With Degree","spotify:artist:21pMSs2JHWwwy2kp1QIIVB","Sister Nancy","spotify:album:3Il1CWXA64e8gukuJZoj0e","One Two","spotify:artist:21pMSs2JHWwwy2kp1QIIVB","Sister Nancy","1982","https://i.scdn.co/image/ab67616d0000b27333c6f21ab00263515f0b0d6d","1","10","209293","https://p.scdn.co/mp3-preview/9d874ad119a6f4e0b35f9bee7f89fa2eaabd622b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USA2P0804889","spotify:user:22sdp7hcqje57feigouwzjgyq","2025-01-20T04:13:15Z"
"spotify:track:3QEKA4uWSYH25kYJ0y5e3Q","Soldiers","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","spotify:album:61RLzpGAy4BrIQoEiHXGXA","Reggae Greats","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","1984","https://i.scdn.co/image/ab67616d0000b2737295b6d6af8460330c46d778","1","4","277426","https://p.scdn.co/mp3-preview/e3f99514f81b949cc79fc7e9622f829fa2f92557?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBAPA7800010","spotify:user:22sdp7hcqje57feigouwzjgyq","2025-01-20T04:13:56Z"
"spotify:track:209SbubR5uKaVzj5SeN42w","So Much Trouble In The World","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:09Df7mUZBQwbDYgvE0t30r","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1979-10-02","https://i.scdn.co/image/ab67616d0000b2735c15cf8bfc892d27aecf2f6d","1","1","240333","https://p.scdn.co/mp3-preview/01b96b6270ddac3fa27b9670f2fc69a880f4c970?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USIR27900001","spotify:user:22sdp7hcqje57feigouwzjgyq","2025-01-20T04:19:19Z"
"spotify:track:5uqQyRJV8qLt8zEqnvsBVK","Natural Mystic","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:655KljKIXl42fiNDMKivbY","Exodus","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1977-06-03","https://i.scdn.co/image/ab67616d0000b273d7f3e4d143c198d3542a775d","1","1","207733","https://p.scdn.co/mp3-preview/46bcb317ff5658333e0d389f840ef54b064f0697?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USIR27700008","spotify:user:22sdp7hcqje57feigouwzjgyq","2025-01-20T04:20:15Z"
"spotify:track:3F5kU8RFgfqNJkK20FWJqb","Bodyguard","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","spotify:album:1h5jSwgEiUDx58MiBFVTgV","Earth Crisis","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","2005-06-07","https://i.scdn.co/image/ab67616d0000b273debaed4026f8dc6cd23fb048","1","6","270760","https://p.scdn.co/mp3-preview/fe23e7795f4022459f386f9460fe0979a7d3972f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USEE19901178","spotify:user:22sdp7hcqje57feigouwzjgyq","2025-01-20T04:20:34Z"
